"title","Application déployée","Phase d'avancement","Statut","date Kick-off Interne","Code groupe DISE","Portail existant","date modelisation","date set up EWOCS/YODA","date set up MWM","date set up FUM par CDP","Renouvellement","date Formation Accès Interne","date Pilote Usage Interne","date Kick off Externe","application déployée","Chef de projet","date Formation Accès Externe","Nombres de lignes","date Pilote Usage Externe","date Vie de Solution","is archived"
"TAORES - Mutuelle générale des PTT OSM","MWM, MWM","En vie de solution","Terminé","","1425","","","","","","","","","2018-03-28","MWM, MWM","","","","2018-03-28","2018-04-18","False"
"SONEPAR","MWM, MWM","En vie de solution","Terminé","2018-10-17","010423","","2018-10-23","2018-10-29","2018-12-14","2018-12-23","","2019-02-13","2019-02-14","2018-11-27","MWM, MWM","Sandra Mokueto","2019-02-13",2600,"2019-02-14","2019-05-31","False"
"Orange Filiales","EWOCS, EWOCS","En vie de solution","Actif ","","5311","","","","","","","","","","EWOCS, EWOCS","","","","2017-09-24","2017-10-05","True"
"Bollore","MWM, MWM","En vie de solution","Terminé","2018-10-04","000457","","2018-10-04","2018-10-15","2018-10-16","2018-11-09","","2019-01-10","2019-01-10","2018-11-20","MWM, MWM","Sandra Mokueto","2019-01-10",7000,"2019-01-10","2019-05-20","False"
"TOTAL","EWOCS","En vie de solution","Terminé","","2051;11137","","","","","","","","","2017-02-24","EWOCS","","","","","2017-03-27","False"
"MGEN","EWOCS, EWOCS","En vie de solution","Terminé","2018-04-16","4090","","","","","","","","","2018-06-02","EWOCS, EWOCS","","",2200,"2018-06-08","2019-01-30","False"
"FDJ","EWOCS, EWOCS","En vie de solution","Terminé","2019-03-21","000342","","","","","","Renouvellement","","","2019-03-02","EWOCS, EWOCS","","",200,"","2019-04-02","False"
"CEA","EWOCS, EWOCS","En vie de solution","Terminé","2018-10-17","009791","","","","","","","","","2019-01-15","EWOCS, EWOCS","Sandra Mokueto","",7000,"","2019-03-20","False"
"ALCATEL ALE","EWOCS","En vie de solution","Terminé","","10009","","","","","","","","","2017-11-15","EWOCS","","","","","2018-01-31","False"
"EDF","EWOCS, EWOCS","En vie de solution","Actif ","","472;9754","","","","","","","","","","EWOCS, EWOCS","","","","","2016-09-28","True"
"Nokia ex Alcatel-Lucent","EWOCS, EWOCS","En vie de solution","Terminé","","406","","","","","","","","","2018-12-10","EWOCS, EWOCS","","","","2018-01-31","2018-04-04","True"
"Spie","MWM, MWM","En vie de solution","Terminé","2019-01-28","542","","2019-02-12","","2019-03-07","2019-03-15","","2019-04-17","2019-05-27","2019-03-25","MWM, MWM","Christine Dodero","2019-04-17",1538,"2019-04-17","2019-06-11","False"
"PWC","EWOCS, EWOCS","En vie de solution","Terminé","","691","","","","","","","","","2018-05-15","EWOCS, EWOCS","","",3900,"2018-06-29","2018-09-17","False"
"Les Mousquetaires","EWOCS","En vie de solution","Actif ","","704517","","","","","","","","","","EWOCS","","","","","2017-04-14","True"
"Natixis","MWM","En vie de solution","Terminé","","008264","","","","","","","","","2018-03-15","MWM","","",5200,"2018-05-16","2018-10-23","False"
"SICF","EWOCS","En vie de solution","Terminé","","006272","","","","","","","","","2018-03-01","EWOCS","","","","2018-04-10","2018-05-22","False"
"NESTLE","EWOCS","En vie de solution","Actif ","","1667","","","","","","","","","","EWOCS","","","","","2017-06-01","True"
"L'OREAL","EWOCS","En vie de solution","Terminé","","003411","","","","","","","","","","EWOCS","","","","2018-01-12","2018-04-04","False"
"ENGIE - GDF SUEZ OSM FTR (INEO+SUEZ)","MWM, MWM","En vie de solution","Actif ","","004186, 005085, 005697,10071,11453,11454,11455,11456,11457","","","","","","","","","2018-04-16","MWM, MWM","Elise Meffo","",13826,"2018-06-11","2018-10-31","False"
"Airbus","MWM, MWM","En vie de solution","Actif ","","9419","","","","","","","","","","MWM, MWM","","",5727,"2017-08-30","2017-09-21","True"
"Bureau veritas","MWM, MWM","En vie de solution","Terminé","2018-03-16","381","","2018-07-16","","2018-07-06","2018-07-06","","2018-07-06","","2018-06-04","MWM, MWM","Elise Meffo","",7145,"2018-07-05","2019-07-02","False"
"SWISSLIFE","MWM","En vie de solution","Actif ","","9572","","","","","","","","","","MWM","","",800,"2018-05-24","2018-10-15","True"
"OPACHE 5","EWOCS","En vie de solution","Terminé","","10333; 10331; 10323; 10322; 10324; 10327; 10321; 10320; 10330; 10326; 10329; 10332; 10328; 10325","","","","","","","","","2018-09-03","EWOCS","","","","","2018-10-01","True"
"Dassault","EWOCS, EWOCS","En vie de solution","Actif ","","3553","","","","","","","","","","EWOCS, EWOCS","","","","","2017-06-01","True"
"Carrefour","MWM, MWM","En vie de solution","Terminé","","001260","","","","","","","","","2016-09-15","MWM, MWM","","",10700,"2016-11-21","2018-07-13","True"
"Club med","EWOCS, EWOCS","En vie de solution","Terminé","","001434","","","","","","","","","2018-03-22","EWOCS, EWOCS","","","","2018-04-26","2018-05-24","False"
"COVEA","EWOCS, EWOCS","En vie de solution","Terminé","","8814","","","","","","","","","2017-02-20","EWOCS, EWOCS","","","","","2017-03-28","False"
"OPACHE 4","EWOCS","En vie de solution","Actif ","","8255 / 8253 / 8399 / 8384 / 8383 / 8382 / 8381 / 8380 / 8379 / 8378 / 8377 / 8376 / 8256 / 8313 / 8312","","","","","","","","","","EWOCS","","","","","2016-06-01","True"
"Humanis","EWOCS, EWOCS","En vie de solution","Terminé","","7296","","","","","","","","","2016-06-15","EWOCS, EWOCS","","","","","2016-08-30","False"
"MATMUT","EWOCS, EWOCS","En vie de solution","Terminé","2019-04-18","9598/8812/010670/010671","","","","","","Renouvellement","","","2019-04-15","EWOCS, EWOCS","","",1880,"","2019-05-21","False"
"Kingfisher","EWOCS, EWOCS","En vie de solution","Terminé","2019-04-22","001211 - 007837","","","","","","","","","2019-05-13","EWOCS, EWOCS","","",1700,"","2019-05-13","False"
